"id","listing_url","last_scraped","host_id","host_name","host_since","host_location","neighbourhood","neighbourhood_cleansed","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","number_of_reviews","review_scores_rating","cancellation_policy","amenities"
1739317,"https://www.airbnb.com/rooms/1739317","2016-07-04",9158575,"Sarah","2013-10-01","Paris, Île-de-France, France","","Buttes-Chaumont","75019","House","Entire home/apt",4,1,2,3,90,9,96,"flexible","TV|Cable TV|Internet|Wireless Internet|Kitchen|Heating|Washer|Dryer"
13559274,"https://www.airbnb.com/rooms/13559274","2016-07-04",6957472,"Clément","2013-06-17","Paris, Île-de-France, France","","Buttes-Chaumont","93300","House","Private room",2,1,1,1,21,0,NA,"strict","Internet|Wireless Internet|Kitchen|Indoor Fireplace|Heating|Washer"
12131391,"https://www.airbnb.com/rooms/12131391","2016-07-04",7639542,"Antoine","2013-07-22","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",5,2,3,5,150,0,NA,"flexible","Wireless Internet|Kitchen|Smoking Allowed|Pets Allowed|Heating|Family/Kid Friendly|Washer|Smoke Detector|Essentials|Shampoo|24-Hour Check-in|Hangers|Iron|Laptop Friendly Workspace"
3644312,"https://www.airbnb.com/rooms/3644312","2016-07-04",18404804,"Benny","2014-07-19","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Private room",2,1,1,1,42,25,87,"moderate","Internet|Wireless Internet|Kitchen|Smoking Allowed|Pets Allowed|Buzzer/Wireless Intercom|Heating|Washer|Smoke Detector|Carbon Monoxide Detector|First Aid Kit|Safety Card|Fire Extinguisher|Essentials|Shampoo"
6781722,"https://www.airbnb.com/rooms/6781722","2016-07-04",35502096,"Fabrice","2015-06-10","Paris, Île-de-France, France","","Buttes-Chaumont","75019","House","Private room",2,1,1,1,108,1,100,"flexible",""
1706112,"https://www.airbnb.com/rooms/1706112","2016-07-03",4361794,"Mat","2012-12-09","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Private room",5,1,1,2,65,120,84,"strict","TV|Cable TV|Internet|Wireless Internet|Kitchen|Indoor Fireplace|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Safety Card|Fire Extinguisher|Essentials|Shampoo|Lock on Bedroom Door|24-Hour Check-in|Hair Dryer|Iron"
1706239,"https://www.airbnb.com/rooms/1706239","2016-07-03",4361794,"Mat","2012-12-09","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Private room",2,1,1,1,61,98,84,"strict","TV|Cable TV|Internet|Wireless Internet|Wheelchair Accessible|Kitchen|Indoor Fireplace|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Safety Card|Essentials|Shampoo"
6297342,"https://www.airbnb.com/rooms/6297342","2016-07-03",32746012,"Corinne","2015-05-06","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Private room",2,1,1,1,38,119,91,"flexible","Cable TV|Wireless Internet|Wheelchair Accessible|Smoking Allowed|Pets Allowed|Breakfast|Pets live on this property|Dog(s)|Heating|Family/Kid Friendly|Smoke Detector|Shampoo|Hangers|Hair Dryer|Iron"
6756543,"https://www.airbnb.com/rooms/6756543","2016-07-03",22159538,"Sabine","2014-10-05","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",6,2,3,4,181,0,NA,"strict","TV|Cable TV|Internet|Wireless Internet|Kitchen|Buzzer/Wireless Intercom|Washer|Dryer|Smoke Detector|Safety Card|Essentials"
4495722,"https://www.airbnb.com/rooms/4495722","2016-07-03",23320817,"Emmanuel","2014-11-04","US","La Villette","Buttes-Chaumont","75019","House","Private room",2,1,1,1,35,12,89,"moderate","Wireless Internet|Heating|Washer|Smoke Detector|Essentials|Shampoo"
13086863,"https://www.airbnb.com/rooms/13086863","2016-07-03",23320817,"Emmanuel","2014-11-04","US","La Villette","Buttes-Chaumont","75019","Townhouse","Private room",2,1,1,1,40,1,100,"flexible","Wireless Internet|Heating|Family/Kid Friendly|Washer|Smoke Detector|Essentials|Lock on Bedroom Door"
6106267,"https://www.airbnb.com/rooms/6106267","2016-07-03",31683596,"<U+661F><U+661F>","2015-04-21","US","","Buttes-Chaumont","75019","House","Private room",2,1,1,1,50,0,NA,"flexible","Internet|Wireless Internet|Wheelchair Accessible|Kitchen|Free Parking on Premises|Elevator in Building|Hot Tub|Heating|Washer|Smoke Detector|Carbon Monoxide Detector|Essentials|Shampoo"
4938677,"https://www.airbnb.com/rooms/4938677","2016-07-03",25449720,"Herve","2015-01-01","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Entire home/apt",4,1,2,2,115,1,100,"strict","TV|Cable TV|Internet|Wireless Internet|Kitchen|Pets live on this property|Cat(s)|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Washer|Essentials|Shampoo"
10373349,"https://www.airbnb.com/rooms/10373349","2016-07-03",2223487,"Aude&David","2012-04-25","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",8,2,4,4,551,1,100,"moderate","TV|Cable TV|Internet|Wireless Internet|Air Conditioning|Kitchen|Free Parking on Premises|Indoor Fireplace|Heating|Family/Kid Friendly|Washer|Essentials|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
4884557,"https://www.airbnb.com/rooms/4884557","2016-07-03",12840850,"Villa","2014-03-05","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",16,4,6,14,891,9,90,"strict","TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Essentials"
7908562,"https://www.airbnb.com/rooms/7908562","2016-07-03",3081835,"Chas","2012-07-28","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","Townhouse","Private room",2,1,1,2,39,11,95,"strict","TV|Cable TV|Internet|Wireless Internet|Air Conditioning|Kitchen|Pets live on this property|Cat(s)|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Carbon Monoxide Detector|First Aid Kit|Safety Card|Fire Extinguisher|Essentials|Shampoo|Hangers|Hair Dryer"
10377277,"https://www.airbnb.com/rooms/10377277","2016-07-03",47633106,"Willy  & Claudine","2015-10-28","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","Townhouse","Private room",4,2,1,2,140,0,NA,"flexible","TV|Internet|Wireless Internet|Kitchen|Breakfast|Heating|Washer|Smoke Detector|First Aid Kit|Safety Card|Fire Extinguisher|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
11712896,"https://www.airbnb.com/rooms/11712896","2016-07-03",17239856,"Roxane","2015-11-11","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","Townhouse","Entire home/apt",2,1,0,1,40,3,87,"flexible","Internet|Wireless Internet|Air Conditioning|Wheelchair Accessible|Kitchen|Free Parking on Premises|Smoking Allowed|Elevator in Building|Heating|Smoke Detector|Essentials|Shampoo|24-Hour Check-in|Hangers|Iron|Laptop Friendly Workspace"
3569959,"https://www.airbnb.com/rooms/3569959","2016-07-03",17974367,"Olivier","2014-07-11","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",7,1,4,6,160,2,100,"moderate","TV|Cable TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Smoke Detector|Carbon Monoxide Detector|Essentials"
3737654,"https://www.airbnb.com/rooms/3737654","2016-07-04",1454061,"Gabriella","2011-11-29","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",3,1.5,2,1,75,0,NA,"moderate","Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
7410094,"https://www.airbnb.com/rooms/7410094","2016-07-04",38645786,"Marie Et Olivier","2015-07-16","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","Townhouse","Entire home/apt",5,1,2,3,46,1,100,"flexible","Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Smoke Detector|Carbon Monoxide Detector|First Aid Kit|Safety Card|Essentials|Shampoo|Hair Dryer|Iron|translation missing: en.hosting_amenity_50"
1774062,"https://www.airbnb.com/rooms/1774062","2016-07-04",2999227,"Melanie","2012-07-20","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Private room",1,1,1,1,35,6,80,"strict","Internet|Wireless Internet|Kitchen|Smoking Allowed|Heating|Washer|Smoke Detector|Essentials|Shampoo|translation missing: en.hosting_amenity_49|translation missing: en.hosting_amenity_50"
5124745,"https://www.airbnb.com/rooms/5124745","2016-07-04",19682813,"Virginie","2014-08-08","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Entire home/apt",9,2,5,7,241,14,94,"flexible","TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Carbon Monoxide Detector|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
209796,"https://www.airbnb.com/rooms/209796","2016-07-04",1033854,"Assia","2011-08-29","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Entire home/apt",2,1,1,1,40,49,99,"strict","Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Essentials|Shampoo|Hangers|Hair Dryer|Iron"
4586493,"https://www.airbnb.com/rooms/4586493","2016-07-04",23774512,"Olaf","2014-11-15","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75020","House","Entire home/apt",4,1,1,2,123,2,100,"moderate","Internet|Wireless Internet|Kitchen|Smoking Allowed|Buzzer/Wireless Intercom|Heating|Washer|Dryer|Smoke Detector|First Aid Kit|Safety Card|Essentials|Shampoo"
2884742,"https://www.airbnb.com/rooms/2884742","2016-07-04",14743447,"Benoit","2014-04-26","FR","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",5,1,2,3,181,12,97,"strict","TV|Cable TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Fire Extinguisher|Essentials"
12045204,"https://www.airbnb.com/rooms/12045204","2016-07-04",35468557,"Christophe","2015-06-10","US","La Villette","Buttes-Chaumont","75019","Townhouse","Shared room",1,1,1,1,35,0,NA,"flexible","TV|Cable TV|Internet|Wireless Internet|Kitchen|Smoking Allowed|Buzzer/Wireless Intercom|Heating|Suitable for Events|Washer|Smoke Detector|Carbon Monoxide Detector|First Aid Kit|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
